CAN_ID_DEZ,CAN_ID_HEX,CAN_ID_NAME,DIAG_ID_DEZ,DIAG_ID_HEX,SG_NAME
816,0x330,Mileage/range [5],96,0x60,Kombi
822,0x336,Display checkcontrol message (roll) [3],96,0x60,Kombi
824,0x338,Control Display CheckControl message [7],96,0x60,Kombi
860,0x35C,Status on -board computer [5],96,0x60,Kombi
862,0x35E,Data on -board computer (travel dates) [5],96,0x60,Kombi
864,0x360,Data on -board computer (starting at the journey) [2],96,0x60,Kombi
866,0x362,Data on -board computer (average) [4],96,0x60,Kombi
868,0x364,Data on -board computer (arrival) [2],96,0x60,Kombi
870,0x366,The combination/external display [3],96,0x60,Kombi
871,0x367,Control advertisement Display -oriented service [6],96,0x60,Kombi
916,0x394,RDA request/data storage [5],96,0x60,Kombi
1248,0x4E0,Network management,96,0x60,Kombi
1504,0x5E0,services,96,0x60,Kombi
173,0xAD,Delay request ACC [9],28,0x1C,LDM
183,0xB7,Torque requirement ACC [10],28,0x1C,LDM
191,0xBF,Requirement wheel moment drive train [6],28,0x1C,LDM
213,0xD5,Requirement wheel moment brake [6],28,0x1C,LDM
351,0x15F,Requirement angle ffp [6],28,0x1C,LDM
400,0x190,ACC [13],28,0x1C,LDM
403,0x193,ACC DCC [4],28,0x1C,LDM
1180,0x49C,Network management,28,0x1C,LDM
1436,0x59C,services,28,0x1C,LDM
502,0x1F6,Blink [6],112,0x70,LM
514,0x202,Dimination [10],112,0x70,LM
538,0x21A,Lamp condition [13],112,0x70,LM
550,0x226,Rain sensor wiper speed [8],112,0x70,LM
774,0x306,Vehicle tendency [2],112,0x70,LM
788,0x314,Status driving light [9],112,0x70,LM
810,0x32A,Control ALC [2],112,0x70,LM
944,0x3B0,Status gait backwards [2],112,0x70,LM
979,0x3D3,Status Solarensor [1],112,0x70,LM
985,0x3D9,Status RLS CKM [4],112,0x70,LM
989,0x3DD,Status light ckm [4],112,0x70,LM
993,0x3E1,Status alc ckm [1],112,0x70,LM
1009,0x3F1,Status light expanded ckm [1],112,0x70,LM
1280,0x500,Data transfer [1],112,0x70,LM
1264,0x4F0,Network management,112,0x70,LM/LM_ALC
1520,0x5F0,services,112,0x70,LM/LM_ALC
370,0x172,Appeal requirement station wagon [1],98,0x62,M_ASK/CCC_GW
426,0x1AA,Effect ErgoCommander [10],98,0x62,M_ASK/CCC_GW
472,0x1D8,Operation climate air distribution fa [13],98,0x62,M_ASK/CCC_GW
476,0x1DC,Operation layering seat heating [1],98,0x62,M_ASK/CCC_GW
480,0x1E0,Operation climate air distribution BF [7],98,0x62,M_ASK/CCC_GW
482,0x1E2,Operation Climate Front [11],98,0x62,M_ASK/CCC_GW
528,0x210,Operation Hud [7],98,0x62,M_ASK/CCC_GW
552,0x228,Operation special function [8],98,0x62,M_ASK/CCC_GW
604,0x25C,Operation climate additional programs [2],98,0x62,M_ASK/CCC_GW
674,0x2A2,Operation climate stand functions [5],98,0x62,M_ASK/CCC_GW
676,0x2A4,Operation Personalization [8],98,0x62,M_ASK/CCC_GW
696,0x2B8,Operation on -board computer [3],98,0x62,M_ASK/CCC_GW
718,0x2CE,Control monitor [4],98,0x62,M_ASK/CCC_GW
759,0x2F7,Units [10],98,0x62,M_ASK/CCC_GW
787,0x313,Status Service Call Teleservice [3],98,0x62,M_ASK/CCC_GW
817,0x331,Programming step speed [2],98,0x62,M_ASK/CCC_GW
825,0x339,Status display functions external [1],98,0x62,M_ASK/CCC_GW
858,0x35A,Date of Condition Based Service [2],98,0x62,M_ASK/CCC_GW
920,0x398,Operation chassis [14],98,0x62,M_ASK/CCC_GW
926,0x39E,Operation time/date [1],98,0x62,M_ASK/CCC_GW
931,0x3A3,Requirement remote services [2],98,0x62,M_ASK/CCC_GW
970,0x3CA,Configuration M-Drive [2],98,0x62,M_ASK/CCC_GW
980,0x3D4,Configuration central locking CKM [3],98,0x62,M_ASK/CCC_GW
982,0x3D6,Configuration DWA CKM [1],98,0x62,M_ASK/CCC_GW
984,0x3D8,Configuration RLS CKM [3],98,0x62,M_ASK/CCC_GW
986,0x3DA,Configuration Memory Positions CKM [1],98,0x62,M_ASK/CCC_GW
988,0x3DC,Configuration light ckm [3],98,0x62,M_ASK/CCC_GW
990,0x3DE,Configuration Climate CKM [5],98,0x62,M_ASK/CCC_GW
992,0x3E0,Configuration ALC CKM [1],98,0x62,M_ASK/CCC_GW
994,0x3E2,Configuration tailgate CKM [1],98,0x62,M_ASK/CCC_GW
1008,0x3F0,Configuration light expanded CKM [1],98,0x62,M_ASK/CCC_GW
1012,0x3F4,Configuration Load space cover CKM [1],98,0x62,M_ASK/CCC_GW
1220,0x4C4,Network management,68,0x44,MDS/SHD
1476,0x5C4,services,68,0x44,MDS/SHD
1232,0x4D0,Network management,80,0x50,Notstrom-Sirene
1488,0x5D0,services,80,0x50,Notstrom-Sirene
542,0x21E,Status Night-Vision [2],87,0x57,NVC
738,0x2E2,Status setting video night vision [1],87,0x57,NVC
1239,0x4D7,Network management,87,0x57,NVC
1495,0x5D7,services,87,0x57,NVC
450,0x1C2,Spacement report PDC [5],100,0x64,PDC
451,0x1C3,Spacement message 2 PDC [3],100,0x64,PDC
454,0x1C6,Acoustic message PDC [5],100,0x64,PDC
586,0x24A,Status PDC [6],100,0x64,PDC
1252,0x4E4,Network management,100,0x64,PDC
1508,0x5E4,services,100,0x64,PDC
600,0x258,Status Transmission Passive Access [4],39,0x27,PGS
792,0x318,Status antenna Passive Access [7],39,0x27,PGS
1191,0x4A7,Network management,39,0x27,PGS
1447,0x5A7,services,39,0x27,PGS
796,0x31C,Status tire pressure [6],32,0x20,RDC
1184,0x4A0,Network management,32,0x20,RDC
1440,0x5A0,services,32,0x20,RDC
550,0x226,Rain sensor wiper speed [8],69,0x45,RLS
788,0x314,Status driving light [9],69,0x45,RLS
985,0x3D9,Status RLS CKM [4],69,0x45,RLS
1221,0x4C5,Network management,69,0x45,RLS/RLS
1477,0x5C5,services,69,0x45,RLS/RLS
1189,0x4A5,Network management,37,0x25,RSC_VDA/SC_CT/SC_VDA
1445,0x5A5,services,37,0x25,RSC_VDA/SC_CT/SC_VDA
1236,0x4D4,Network management,84,0x54,SDARS
1492,0x5D4,services,84,0x54,SDARS
0,0x00,unknown,0,0x00,Sender unbekannt
4095,0xFFF,unknown,255,0xFF,Sender unbekannt
748,0x2EC,Status climate SH/ZH additional water pump [14],122,0x7A,SH_ZH
1274,0x4FA,Network management,122,0x7A,SH_ZH
1530,0x5FA,services,122,0x7A,SH_ZH
954,0x3BA,Position SHD [10],68,0x44,SHD/MDS
554,0x22A,Status BFS [10],110,0x6E,SM_BF
575,0x23F,Status operation seating comfort BF [1],110,0x6E,SM_BF
845,0x34D,Status seating back lock BF [2],110,0x6E,SM_BF
961,0x3C1,Configuration BFS [3],110,0x6E,SM_BF
1262,0x4EE,Network management,110,0x6E,SM_BF/SM_BF_KBUS
1518,0x5EE,services,110,0x6E,SM_BF/SM_BF_KBUS
523,0x20B,Memory adjustment [6],109,0x6D,SM_FA
524,0x20C,Control steering column (4),109,0x6D,SM_FA
562,0x232,Status FAS [10],109,0x6D,SM_FA
572,0x23C,Status operation seating comfort FA [1],109,0x6D,SM_FA
843,0x34B,Status seating back lock FA (3),109,0x6D,SM_FA
960,0x3C0,Configuration FAS [3],109,0x6D,SM_FA
987,0x3DB,Status memory positions ckm3],109,0x6D,SM_FA
1261,0x4ED,Network management,109,0x6D,SM_FA/SM_FA_KBUS
1517,0x5ED,services,109,0x6D,SM_FA/SM_FA_KBUS
419,0x1A3,Raw data longitudinal acceleration [3],24,0x18,SMG_M
189,0xBD,Torque requirement SSG [6],24,0x18,SMG_M/SMG
186,0xBA,Gear data [20],24,0x18,SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
466,0x1D2,Display gear data [22],24,0x18,SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
772,0x304,Status gang [13],24,0x18,SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
200,0xC8,Steering wheel angle above K-CAN [6],2,0x2,SZL_LWS
402,0x192,Operation gear selection switch [16],2,0x2,SZL_LWS
404,0x194,Operation cruise control/ACC [13],2,0x2,SZL_LWS
470,0x1D6,Operation button audio/telephone [12],2,0x2,SZL_LWS
473,0x1D9,Operation button M-Drive [2],2,0x2,SZL_LWS
490,0x1EA,Operation steering column adjustment [5],2,0x2,SZL_LWS
494,0x1EE,Operation steering stick button [6],2,0x2,SZL_LWS
678,0x2A6,Operation wiper button [12],2,0x2,SZL_LWS
1154,0x482,Network management,2,0x2,SZL_LWS
1410,0x582,services,2,0x2,SZL_LWS
793,0x319,Operation button RDC [4],101,0x65,SZM
523,0x20B,Memory adjustment [6],101,0x65,SZM_MIT_KBUS
843,0x34B,Status seating back lock FA (3),101,0x65,SZM_MIT_KBUS
845,0x34D,Status seating back lock BF [2],101,0x65,SZM_MIT_KBUS
987,0x3DB,Status memory positions ckm3],101,0x65,SZM_MIT_KBUS
210,0xD2,Operation Seat adjustment BF [6],101,0x65,SZM_MIT_KBUS/SZM
218,0xDA,Operation seat adjustment fa [6],101,0x65,SZM_MIT_KBUS/SZM
487,0x1E7,Operation seat heating/seat climate FA [7],101,0x65,SZM_MIT_KBUS/SZM
488,0x1E8,Operation seat heating/seat climate BF [7],101,0x65,SZM_MIT_KBUS/SZM
491,0x1EB,Operation Active seat FA [3],101,0x65,SZM_MIT_KBUS/SZM
492,0x1EC,Operation active seat BF [3],101,0x65,SZM_MIT_KBUS/SZM
493,0x1ED,Operation Active FA [2],101,0x65,SZM_MIT_KBUS/SZM
495,0x1EF,Operation Leans width adjustment Active BF [2],101,0x65,SZM_MIT_KBUS/SZM
498,0x1F2,Operation seat memory BF [3],101,0x65,SZM_MIT_KBUS/SZM
499,0x1F3,Operation seat memory FA [4],101,0x65,SZM_MIT_KBUS/SZM
525,0x20D,Position steering column (5),101,0x65,SZM_MIT_KBUS/SZM
645,0x285,Control roller blind [3],101,0x65,SZM_MIT_KBUS/SZM
789,0x315,Vehicle mode [7],101,0x65,SZM_MIT_KBUS/SZM
791,0x317,Operation button PDC [1],101,0x65,SZM_MIT_KBUS/SZM
1253,0x4E5,Network management,101,0x65,SZM/SZM_MIT_KBUS
1509,0x5E5,services,101,0x65,SZM/SZM_MIT_KBUS
787,0x313,Status Service Call Teleservice [3],54,0x36,TEL_BPI
1206,0x4B6,Network management,54,0x36,TEL_BPI/TEL_JAP/TEL_MULF
1462,0x5B6,services,54,0x36,TEL_BPI/TEL_JAP/TEL_MULF
193,0xC1,Alive counter phone [3],54,0x36,TEL_JAP/TEL_BPI
1245,0x4DD,Network management,93,0x5D,TLC
1501,0x5DD,services,93,0x5D,TLC
1985,0x7C1,CAS programming Band end 2 (3),255,0xFF,TOOL_BANDENDE_CAS
1987,0x7C3,CAS application message 2 (3),255,0xFF,TOOL_BANDENDE_CAS
500,0x1F4,Remote control Seat memory BF [2],255,0xFF,unbekannt
558,0x22E,Status BFSH [7],255,0xFF,unbekannt
566,0x236,Status Fashion [7],255,0xFF,unbekannt
619,0x26B,Operation Rollos BF [2],255,0xFF,unbekannt
621,0x26D,Operation Rollos MK [1],255,0xFF,unbekannt
623,0x26F,Operation Rollos BFH [2],255,0xFF,unbekannt
624,0x270,Operation Rollos Fah [2],255,0xFF,unbekannt
656,0x290,Control reaction hydrogen vehicle [1],255,0xFF,unbekannt
924,0x39C,EBA data request [5],255,0xFF,unbekannt
1001,0x3E9,Marker 1 [1],255,0xFF,unbekannt
1006,0x3EE,Requirement error message [1],255,0xFF,unbekannt
188,0xBC,Status target moment implementation [7],25,0x19,VGSG
886,0x376,Status wear lamella [3],25,0x19,VGSG
1177,0x499,Network management,25,0x19,VGSG
1433,0x599,services,25,0x19,VGSG
1227,0x4CB,Network management,75,0x4B,VM
1483,0x5CB,services,75,0x4B,VM
1179,0x49B,Network management,27,0x1B,VVT1
1435,0x59B,services,27,0x1B,VVT1
1182,0x49E,Network management,30,0x1E,VVT2
1438,0x59E,services,30,0x1E,VVT2
1289,0x509,Network management,137,0x89,Xenon_Scheinwerfer_Links_ALC
1545,0x609,services,137,0x89,Xenon_Scheinwerfer_Links_ALC
1290,0x50A,Network management,138,0x8A,Xenon_Scheinwerfer_Rechts_ALC
1546,0x60A,services,138,0x8A,Xenon_Scheinwerfer_Rechts_ALC
440,0x1B8,Operation Ergocommander [6],103,0x67,ZBE_LO/ZBE
1255,0x4E7,Network management,103,0x67,ZBE/ZBE_LO
1511,0x5E7,services,103,0x67,ZBE/ZBE_LO
